,Origin,Dest.,Transit,agg,city,DE,DIRECT,NL,PL,LT,FI,SK,ES,CZ
242,FI,NL,"LT
DE",FINL,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
243,FI,NO,,FINO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,FI,PL,"LT
DE",FIPL,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
245,FI,PT,"LT
DE",FIPT,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
246,FI,RO,"LT
DE",FIRO,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
247,FI,SE,DIRECT,FISE,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,FI,SI,"LT
DE",FISI,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
249,FI,SK,"LT
DE",FISK,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
250,FI,CY,DE,FICY,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,FI,IT,"LT
DE",FIIT,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
252,FR,AT,,FRAT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,FR,BE,,FRBE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
